

2.11.2022-2:21:55 -- Event - program started



2.11.2022-2:21:59 -- Error - ******************Start SnapShot****************



2.11.2022-2:21:59 -- Error - Unknown error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



2.11.2022-2:21:59 -- Error - Input/output error



